,#NO,RA,DEC,VLSR,FLUX,DFLUX,??
,44,0.00006,0.00001,-4.63519,2.55300,0.08000,1
,45,0.00009,-0.00007,-5.05653,9.60500,0.23100,1
,46,0.00009,-0.00008,-5.47787,24.06500,0.58700,1
,46,0.00517,0.05060,-5.47787,4.73400,0.58700,1
,46,0.00530,0.07224,-5.47787,10.59300,0.58700,1
,46,0.00550,0.05074,-5.47787,5.42100,0.58700,1
,46,0.00868,0.01165,-5.47787,5.04900,0.58700,1
,46,0.00873,0.01072,-5.47787,3.23200,0.58700,1
,46,0.05338,0.06654,-5.47787,4.84600,0.58700,1
,47,0.00008,-0.00007,-5.89921,38.31700,0.94800,1
,47,0.00518,0.05057,-5.89921,7.56300,0.94800,1
,47,0.00529,0.07225,-5.89921,16.71700,0.94800,1
,47,0.00550,0.05072,-5.89921,8.53800,0.94800,1
,48,0.00006,-0.00006,-6.32055,41.97100,0.99600,1
,48,0.00513,0.05063,-6.32055,7.22800,0.99800,1
,48,0.00526,0.07230,-6.32055,17.68700,0.99800,1
,48,0.00548,0.05070,-6.32055,8.85800,0.99800,1
,48,0.06944,-0.03068,-6.32055,5.46400,0.99800,1
,49,-0.00035,0.00189,-6.74190,13.03400,0.81600,1
,49,0.00000,-0.00006,-6.74190,39.12600,0.81100,1
,49,0.00039,-0.00215,-6.74190,4.55400,0.81600,1
,49,0.00522,0.07237,-6.74190,14.00300,0.81600,1
,49,0.06930,-0.03055,-6.74190,5.05000,0.81600,1
,50,-0.00042,0.00192,-7.16324,6.57300,0.63800,1
,50,-0.00002,-0.00003,-7.16324,40.46000,0.63700,1
,50,0.00026,-0.00208,-7.16324,8.19100,0.63800,1
,51,-0.00527,-0.07250,-7.58458,8.00800,0.57800,1
,51,-0.00002,-0.00001,-7.58458,41.53800,0.57800,1
,52,-0.00880,-0.01136,-8.00592,5.25400,0.61900,1
,52,-0.00840,-0.01178,-8.00592,3.74900,0.61900,1
,52,-0.00522,-0.07242,-8.00592,7.85200,0.61900,1
,52,-0.00001,-0.00002,-8.00592,36.02000,0.61900,1
,53,-0.00873,-0.01115,-8.42726,4.96300,0.72800,1
,53,0.00001,-0.00001,-8.42726,25.01500,0.72800,1
,54,0.00002,-0.00001,-8.84860,15.65100,0.64200,1
,55,0.00007,-0.00008,-9.26994,8.03100,0.39200,1
,59,0.00125,0.00164,-10.95531,1.68100,0.19700,1
,59,0.00388,0.00333,-10.95531,1.94300,0.19700,1
,60,0.00127,0.00131,-11.37665,2.73400,0.17600,1
,60,0.00384,0.00337,-11.37665,4.08300,0.18000,1
,60,0.00914,0.05358,-11.37665,1.20500,0.18000,1
,61,0.00123,0.00123,-11.79799,4.11400,0.18600,1
,61,0.00382,0.00334,-11.79799,4.40200,0.18900,1
,61,0.00981,0.01288,-11.79799,1.40800,0.18900,1
,62,0.00116,0.00117,-12.21933,6.85300,0.19500,1
,62,0.00384,0.00310,-12.21933,1.92800,0.19600,1
,62,0.00970,0.01264,-12.21933,2.00600,0.19600,1
,63,0.00114,0.00110,-12.64067,9.01100,0.21000,1
,63,0.00151,-0.00088,-12.64067,2.51100,0.21000,1
,64,0.00113,0.00109,-13.06201,7.43500,0.17800,1
,64,0.00155,-0.00088,-13.06201,2.11700,0.17800,1
,64,0.00961,0.01255,-13.06201,1.80800,0.17800,1
,64,0.01000,0.01236,-13.06201,1.11600,0.17800,1
,65,0.00113,0.00110,-13.48336,3.76500,0.10700,1
,65,0.00974,0.01266,-13.48336,1.00500,0.10700,1
,66,0.00114,0.00108,-13.90470,1.10900,0.06500,1
,73,0.07680,-0.08832,-16.85409,1.33500,0.23600,1
,74,0.07674,-0.08830,-17.27543,1.80000,0.34400,1
,45,0.00868,0.01088,-5.05653,1.51400,0.20800,1
,45,0.00869,0.01176,-5.05653,1.95400,0.20800,1
,46,0.00869,0.01168,-5.47787,5.16200,0.51900,1
,46,0.00872,0.01073,-5.47787,3.55900,0.51900,1
,46,0.05327,0.06745,-5.47787,2.63300,0.51900,1
,46,0.05337,0.06650,-5.47787,4.24100,0.51900,1
,47,0.00855,0.01134,-5.89921,9.06000,0.83500,1
,47,0.00889,0.01137,-5.89921,6.38100,0.83500,1
,47,0.01595,0.03139,-5.89921,7.20100,0.81400,1
,47,0.05328,0.06742,-5.89921,4.42800,0.83500,1
,47,0.05339,0.06646,-5.89921,6.47000,0.83500,1
,48,0.00864,0.01182,-6.32055,7.43000,0.88700,1
,48,0.00868,0.01083,-6.32055,7.57200,0.88700,1
,48,0.01591,0.03134,-6.32055,7.75800,0.86500,1
,48,0.05327,0.06730,-6.32055,5.49500,0.88700,1
,48,0.05339,0.06634,-6.32055,5.25000,0.88700,1
,49,0.00861,0.01136,-6.74190,9.08000,0.75200,1
,49,0.01588,0.03134,-6.74190,7.28400,0.73500,1
,49,0.05326,0.06727,-6.74190,4.65800,0.75200,1
,50,0.00855,0.01132,-7.16324,5.96400,0.58900,1
,50,0.01562,0.03059,-7.16324,3.43700,0.58900,1
,50,0.01601,0.03171,-7.16324,4.64200,0.58900,1
,60,0.00907,0.07571,-11.37665,1.58100,0.17300,1
,60,0.00918,0.05445,-11.37665,1.04400,0.17300,1
,60,0.00919,0.05355,-11.37665,1.28500,0.17300,1
,61,0.00906,0.07568,-11.79799,1.97800,0.17400,1
