,#NO,RA,DEC,VLSR,FLUX,DFLUX,??
,37,0.05939,0.07186,-1.68683,1.16500,0.18600,1
,37,0.06119,0.08934,-1.68683,1.23200,0.18600,1
,38,0.05941,0.07213,-2.10817,1.66000,0.18300,1
,38,0.06116,0.08916,-2.10817,1.91000,0.18100,1
,42,0.02174,0.05637,-3.79356,2.90600,0.57800,1
,42,0.02174,0.05677,-3.79356,7.54200,0.58000,1
,43,-0.00123,0.00858,-4.21490,10.75100,0.67000,1
,43,0.01986,0.04059,-4.21490,3.58100,0.67000,1
,43,0.01997,0.03957,-4.21490,5.45600,0.66900,1
,43,0.02169,0.05678,-4.21490,20.26700,0.67000,1
,43,0.03394,0.07551,-4.21490,10.12700,0.67000,1
,43,0.06119,0.08912,-4.21490,7.92600,0.67000,1
,44,-0.00135,0.00857,-4.63625,11.67200,0.89500,1
,44,-0.00099,0.00848,-4.63625,6.20400,0.89500,1
,44,0.02003,0.03981,-4.63625,8.38000,0.89500,1
,44,0.02158,0.05689,-4.63625,26.15800,0.88300,1
,44,0.03388,0.07549,-4.63625,13.96500,0.89500,1
,44,0.06114,0.08925,-4.63625,14.75000,0.89500,1
,45,-0.00113,0.00829,-5.05759,10.80500,1.12300,1
,45,0.02137,0.05716,-5.05759,26.04900,1.08200,1
,45,0.03374,0.07568,-5.05759,9.89200,1.12300,1
,45,0.06106,0.08946,-5.05759,23.41500,1.12300,1
,46,-0.04732,-0.07981,-5.47894,10.81900,1.45600,1
,46,-0.00118,0.00837,-5.47894,12.51300,1.45600,1
,46,0.02124,0.05733,-5.47894,22.88200,1.41200,1
,46,0.06096,0.08998,-5.47894,17.17900,1.45200,1
,46,0.06112,0.08903,-5.47894,19.20400,1.45600,1
,47,-0.05060,-0.08031,-5.90029,11.93900,1.87700,1
,47,-0.04741,-0.07991,-5.90029,38.54000,1.87700,1
,48,-0.05064,-0.08008,-6.32163,16.20100,2.31500,1
,48,-0.04746,-0.07975,-6.32163,51.74500,2.31000,1
,49,-0.00014,0.00013,-6.74298,131.53200,3.26100,1
,50,-0.00011,0.00007,-7.16433,271.96201,4.19100,1
,51,-0.00006,-0.00001,-7.58567,348.71399,4.48800,1
,52,0.00000,-0.00012,-8.00702,282.22601,4.66300,1
,52,0.02296,0.04800,-8.00702,93.08200,4.66300,1
,52,0.03497,0.06685,-8.00702,55.09900,4.66300,1
,52,0.03536,0.06656,-8.00702,41.39700,4.66300,1
,53,0.00004,-0.00024,-8.42836,156.94501,4.26000,1
,53,0.00307,0.01641,-8.42836,45.98300,4.26000,1
,53,0.00324,0.01539,-8.42836,23.53900,4.26000,1
,53,0.02294,0.04807,-8.42836,101.74200,4.26000,1
,53,0.03514,0.06673,-8.42836,66.74800,4.26000,1
,54,-0.00005,-0.00046,-8.84971,34.41600,3.29900,1
