-3.8, '1111000', [0.79646, 0.79752, 0.798067, 0.799765, [99900], [99900], [99900]], [1e-05, 1e-05, 0.000537, 9.5e-05, [99900], [99900], [99900]], [-5.46691, -5.46899, -5.470947, -5.475015, [99900], [99900], [99900]], [1e-05, 1e-05, 0.000792, 0.000421, [99900], [99900], [99900]]
-3.4, '1111000', [0.411348, 0.41171, 0.412165, 0.411985, [99900], [99900], [99900]], [0.00013, 1e-05, 0.000209, 9.5e-05, [99900], [99900], [99900]], [-2.40984, -2.4103, -2.412095, -2.410695, [99900], [99900], [99900]], [0.000568, 1e-05, 0.000944, 0.000647, [99900], [99900], [99900]]
-3.8, '1111000', [0.411515, 0.41174, 0.412135, 0.411975, [99900], [99900], [99900]], [0.000131, 1e-05, 0.000187, 0.000103, [99900], [99900], [99900]], [-2.410855, -2.41043, -2.41194, -2.41061, [99900], [99900], [99900]], [0.000619, 1e-05, 0.00087, 0.0007, [99900], [99900], [99900]]
-4.2, '1100000', [0.41134, 0.4117, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]], [-2.41002, -2.41044, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]]
-2.9, '0111000', [[99900], 0.41165, 0.41204, 0.411955, [99900], [99900], [99900]], [[99900], 1e-05, 0.000208, 0.00011, [99900], [99900], [99900]], [[99900], -2.41, -2.411505, -2.410575, [99900], [99900], [99900]], [[99900], 1e-05, 0.000981, 0.000704, [99900], [99900], [99900]]
-9.7, '1100000', [0.61506, 0.61601, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]], [-0.73245, -0.73248, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]]
-10.1, '1100000', [0.615, 0.61587, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]], [-0.73223, -0.7321, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]]
-10.5, '1100000', [0.61497, 0.61586, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]], [-0.73219, -0.73209, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]]
-11.0, '1100000', [0.61494, 0.61585, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]], [-0.73221, -0.73215, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]]
-8.0, '1100000', [0.33353, 0.33439, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]], [-0.12093, -0.12068, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]]
-8.4, '1110000', [0.33348, 0.33435, 0.33506, [99900], [99900], [99900], [99900]], [1e-05, 1e-05, 1e-05, [99900], [99900], [99900], [99900]], [-0.12081, -0.12063, -0.12094, [99900], [99900], [99900], [99900]], [1e-05, 1e-05, 1e-05, [99900], [99900], [99900], [99900]]
-9.3, '1110000', [0.33337, 0.33426, 0.33489, [99900], [99900], [99900], [99900]], [1e-05, 1e-05, 1e-05, [99900], [99900], [99900], [99900]], [-0.1205, -0.12052, -0.12035, [99900], [99900], [99900], [99900]], [1e-05, 1e-05, 1e-05, [99900], [99900], [99900], [99900]]
-8.8, '0110000', [[99900], 0.3343, 0.33502, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 1e-05, [99900], [99900], [99900], [99900]], [[99900], -0.12056, -0.12089, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 1e-05, [99900], [99900], [99900], [99900]]
-49.3, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.11264, 0.11545], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], 0.11875, 0.13485], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-9.3, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.05999, 0.06009], [[99900], [99900], [99900], [99900], [99900], 7e-06, 1e-05], [[99900], [99900], [99900], [99900], [99900], 0.093975, 0.09422], [[99900], [99900], [99900], [99900], [99900], 2.5e-05, 1e-05]
-9.7, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.05999, 0.06026], [[99900], [99900], [99900], [99900], [99900], 1e-05, 0.000177], [[99900], [99900], [99900], [99900], [99900], 0.09406, 0.09406], [[99900], [99900], [99900], [99900], [99900], 1e-05, 0.000148]
-1.7, '0000111', [[99900], [99900], [99900], [99900], 0.06119, 0.062003, 0.06249], [[99900], [99900], [99900], [99900], 1e-05, 0.000161, 0.0], [[99900], [99900], [99900], [99900], 0.08934, 0.091093, 0.09176], [[99900], [99900], [99900], [99900], 1e-05, 0.000255, 0.0]
-2.1, '0000111', [[99900], [99900], [99900], [99900], 0.06115, 0.06139, 0.062415], [[99900], [99900], [99900], [99900], 7e-06, 7e-06, 4e-06], [[99900], [99900], [99900], [99900], 0.08917, 0.09047, 0.091725], [[99900], [99900], [99900], [99900], 7e-06, 7e-06, 4e-06]
-4.2, '0000111', [[99900], [99900], [99900], [99900], 0.06119, 0.06183, 0.061982], [[99900], [99900], [99900], [99900], 0.0, 4.2e-05, 0.000105], [[99900], [99900], [99900], [99900], 0.089125, 0.090515, 0.090647], [[99900], [99900], [99900], [99900], 4e-06, 0.000371, 0.000153]
-4.6, '0000111', [[99900], [99900], [99900], [99900], 0.06113, 0.06178, 0.061913], [[99900], [99900], [99900], [99900], 7e-06, 0.0, 3e-06], [[99900], [99900], [99900], [99900], 0.08926, 0.09057, 0.090783], [[99900], [99900], [99900], [99900], 7e-06, 1.4e-05, 0.000234]
-5.5, '0000110', [[99900], [99900], [99900], [99900], 0.061037, 0.06155, [99900]], [[99900], [99900], [99900], [99900], 3.8e-05, 1e-05, [99900]], [[99900], [99900], [99900], [99900], 0.089507, 0.09058, [99900]], [[99900], [99900], [99900], [99900], 0.000224, 1e-05, [99900]]
-5.9, '0000110', [[99900], [99900], [99900], [99900], 0.06106, 0.061305, [99900]], [[99900], [99900], [99900], [99900], 1e-05, 0.000131, [99900]], [[99900], [99900], [99900], [99900], 0.0895, 0.090675, [99900]], [[99900], [99900], [99900], [99900], 1e-05, 0.000407, [99900]]
-0.4, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.06239, 0.06257], [[99900], [99900], [99900], [99900], [99900], 0.0, 7e-06], [[99900], [99900], [99900], [99900], [99900], 0.09144, 0.091795], [[99900], [99900], [99900], [99900], [99900], 0.0, 4e-06]
-0.8, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.062355, 0.06255], [[99900], [99900], [99900], [99900], [99900], 4e-06, 0.0], [[99900], [99900], [99900], [99900], [99900], 0.091395, 0.0918], [[99900], [99900], [99900], [99900], [99900], 4e-06, 0.0]
-1.2, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.062285, 0.062525], [[99900], [99900], [99900], [99900], [99900], 4e-06, 4e-06], [[99900], [99900], [99900], [99900], [99900], 0.09134, 0.09177], [[99900], [99900], [99900], [99900], [99900], 7e-06, 0.0]
-2.5, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.061453, 0.061555], [[99900], [99900], [99900], [99900], [99900], 6.9e-05, 4e-06], [[99900], [99900], [99900], [99900], [99900], 0.090503, 0.090495], [[99900], [99900], [99900], [99900], [99900], 7.3e-05, 4e-06]
-2.9, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.061435, 0.06166], [[99900], [99900], [99900], [99900], [99900], 4e-06, 0.0], [[99900], [99900], [99900], [99900], [99900], 0.090315, 0.09052], [[99900], [99900], [99900], [99900], [99900], 4e-06, 1.4e-05]
-17.3, '0000110', [[99900], [99900], [99900], [99900], 0.06717, 0.06686, [99900]], [[99900], [99900], [99900], [99900], 7e-06, 3.5e-05, [99900]], [[99900], [99900], [99900], [99900], 0.088815, 0.088805, [99900]], [[99900], [99900], [99900], [99900], 4e-06, 6e-05, [99900]]
-17.3, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.06515, 0.065185], [[99900], [99900], [99900], [99900], [99900], 7e-06, 4e-06], [[99900], [99900], [99900], [99900], [99900], 0.088535, 0.08901], [[99900], [99900], [99900], [99900], [99900], 1.1e-05, 7e-06]
-17.7, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.065135, 0.065195], [[99900], [99900], [99900], [99900], [99900], 4e-06, 4e-06], [[99900], [99900], [99900], [99900], [99900], 0.088525, 0.08896], [[99900], [99900], [99900], [99900], [99900], 4e-06, 0.0]
-14.3, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.052135, 0.052025], [[99900], [99900], [99900], [99900], [99900], 4e-06, 9.2e-05], [[99900], [99900], [99900], [99900], [99900], 0.08015, 0.081508], [[99900], [99900], [99900], [99900], [99900], 0.0, 0.000532]
-14.7, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.05216, 0.052334], [[99900], [99900], [99900], [99900], [99900], 0.0, 0.000155], [[99900], [99900], [99900], [99900], [99900], 0.080175, 0.08001], [[99900], [99900], [99900], [99900], [99900], 4e-06, 0.000696]
-11.4, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.04903, 0.049105], [[99900], [99900], [99900], [99900], [99900], 0.0, 1.1e-05], [[99900], [99900], [99900], [99900], [99900], 0.07545, 0.075565], [[99900], [99900], [99900], [99900], [99900], 7e-06, 1.8e-05]
-11.8, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.049, 0.04904], [[99900], [99900], [99900], [99900], [99900], 0.0, 0.0], [[99900], [99900], [99900], [99900], [99900], 0.075495, 0.07574], [[99900], [99900], [99900], [99900], [99900], 4e-06, 7e-06]
-12.2, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.04897, 0.04905], [[99900], [99900], [99900], [99900], [99900], 0.0, 0.0], [[99900], [99900], [99900], [99900], [99900], 0.075505, 0.075765], [[99900], [99900], [99900], [99900], [99900], 4e-06, 4e-06]
-12.6, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.04896, 0.04907], [[99900], [99900], [99900], [99900], [99900], 0.0, 0.0], [[99900], [99900], [99900], [99900], [99900], 0.075515, 0.07578], [[99900], [99900], [99900], [99900], [99900], 4e-06, 0.0]
-13.0, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.04896, 0.04907], [[99900], [99900], [99900], [99900], [99900], 0.0, 0.0], [[99900], [99900], [99900], [99900], [99900], 0.075535, 0.0758], [[99900], [99900], [99900], [99900], [99900], 4e-06, 7e-06]
-13.5, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.04896, 0.049055], [[99900], [99900], [99900], [99900], [99900], 0.0, 4e-06], [[99900], [99900], [99900], [99900], [99900], 0.07555, 0.075805], [[99900], [99900], [99900], [99900], [99900], 0.0, 4e-06]
-13.9, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.04896, 0.049025], [[99900], [99900], [99900], [99900], [99900], 0.0, 4e-06], [[99900], [99900], [99900], [99900], [99900], 0.075505, 0.07576], [[99900], [99900], [99900], [99900], [99900], 4e-06, 7e-06]
-15.2, '0000110', [[99900], [99900], [99900], [99900], 0.04643, 0.04621, [99900]], [[99900], [99900], [99900], [99900], 7e-06, 7e-06, [99900]], [[99900], [99900], [99900], [99900], 0.07663, 0.077425, [99900]], [[99900], [99900], [99900], [99900], 1.4e-05, 1.1e-05, [99900]]
-15.6, '0000111', [[99900], [99900], [99900], [99900], 0.04643, 0.046285, 0.046537], [[99900], [99900], [99900], [99900], 7e-06, 4e-06, 0.000115], [[99900], [99900], [99900], [99900], 0.076745, 0.07753, 0.078033], [[99900], [99900], [99900], [99900], 4e-06, 7e-06, 6.7e-05]
-16.0, '0000111', [[99900], [99900], [99900], [99900], 0.046425, 0.046365, 0.046525], [[99900], [99900], [99900], [99900], 4e-06, 4e-06, 4e-06], [[99900], [99900], [99900], [99900], 0.07675, 0.077585, 0.07816], [[99900], [99900], [99900], [99900], 0.0, 4e-06, 7e-06]
-16.4, '0000111', [[99900], [99900], [99900], [99900], 0.046465, 0.04639, 0.046555], [[99900], [99900], [99900], [99900], 3.9e-05, 7e-06, 4e-06], [[99900], [99900], [99900], [99900], 0.07638, 0.077615, 0.07819], [[99900], [99900], [99900], [99900], 0.000156, 4e-06, 0.0]
-1.7, '0001100', [[99900], [99900], [99900], 0.058003, 0.05939, [99900], [99900]], [[99900], [99900], [99900], 9e-05, 1e-05, [99900], [99900]], [[99900], [99900], [99900], 0.070052, 0.07186, [99900], [99900]], [[99900], [99900], [99900], 0.000703, 1e-05, [99900], [99900]]
-2.1, '0001100', [[99900], [99900], [99900], 0.05798, 0.05939, [99900], [99900]], [[99900], [99900], [99900], 0.0, 1.4e-05, [99900], [99900]], [[99900], [99900], [99900], 0.070075, 0.072165, [99900], [99900]], [[99900], [99900], [99900], 4e-06, 2.5e-05, [99900], [99900]]
-10.1, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.05489, 0.054845], [[99900], [99900], [99900], [99900], [99900], 1.4e-05, 0.000103], [[99900], [99900], [99900], [99900], [99900], 0.071425, 0.071125], [[99900], [99900], [99900], [99900], [99900], 3.9e-05, 0.00011]
-10.5, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.054862, 0.05482], [[99900], [99900], [99900], [99900], [99900], 5.2e-05, 4.9e-05], [[99900], [99900], [99900], [99900], [99900], 0.071442, 0.071135], [[99900], [99900], [99900], [99900], [99900], 0.000111, 0.000216]
-10.9, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.054863, 0.05482], [[99900], [99900], [99900], [99900], [99900], 7.3e-05, 5.7e-05], [[99900], [99900], [99900], [99900], [99900], 0.071527, 0.071295], [[99900], [99900], [99900], [99900], [99900], 4.3e-05, 0.000194]
-21.9, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.04159, 0.04162], [[99900], [99900], [99900], [99900], [99900], 7e-06, 7e-06], [[99900], [99900], [99900], [99900], [99900], 0.021485, 0.02186], [[99900], [99900], [99900], [99900], [99900], 4e-06, 7e-06]
-28.2, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.036265, 0.03658], [[99900], [99900], [99900], [99900], [99900], 4e-06, 0.0], [[99900], [99900], [99900], [99900], [99900], 0.0171, 0.017065], [[99900], [99900], [99900], [99900], [99900], 0.0, 1.1e-05]
-28.6, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.03631, 0.036555], [[99900], [99900], [99900], [99900], [99900], 0.0, 4e-06], [[99900], [99900], [99900], [99900], [99900], 0.017155, 0.01721], [[99900], [99900], [99900], [99900], [99900], 4e-06, 1.4e-05]
-4.2, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.02871, 0.028665], [[99900], [99900], [99900], [99900], [99900], 0.000104, 1.1e-05], [[99900], [99900], [99900], [99900], [99900], 0.06532, 0.06567], [[99900], [99900], [99900], [99900], [99900], 9.4e-05, 7e-06]
-4.6, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.02874, 0.028695], [[99900], [99900], [99900], [99900], [99900], 0.0, 4e-06], [[99900], [99900], [99900], [99900], [99900], 0.0652, 0.065545], [[99900], [99900], [99900], [99900], [99900], 0.0, 4e-06]
-5.0, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.028785, 0.02871], [[99900], [99900], [99900], [99900], [99900], 4e-06, 0.0], [[99900], [99900], [99900], [99900], [99900], 0.06513, 0.065495], [[99900], [99900], [99900], [99900], [99900], 1.4e-05, 4e-06]
-5.5, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.028868, 0.02873], [[99900], [99900], [99900], [99900], [99900], 9.3e-05, 7e-06], [[99900], [99900], [99900], [99900], [99900], 0.065155, 0.065495], [[99900], [99900], [99900], [99900], [99900], 4.5e-05, 1.1e-05]
-5.9, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.02863, 0.02872], [[99900], [99900], [99900], [99900], [99900], 1e-05, 7e-06], [[99900], [99900], [99900], [99900], [99900], 0.06555, 0.065575], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1.8e-05]
-7.2, '1010000', [-0.00553, [99900], -0.005175, [99900], [99900], [99900], [99900]], [0.000127, [99900], 0.00011, [99900], [99900], [99900], [99900]], [-0.05098, [99900], -0.05087, [99900], [99900], [99900], [99900]], [2.1e-05, [99900], 0.000113, [99900], [99900], [99900], [99900]]
-7.6, '1010000', [-0.005415, [99900], -0.00523, [99900], [99900], [99900], [99900]], [0.000138, [99900], 1e-05, [99900], [99900], [99900], [99900]], [-0.051175, [99900], -0.051, [99900], [99900], [99900], [99900]], [8.1e-05, [99900], 1e-05, [99900], [99900], [99900], [99900]]
-7.6, '0110000', [[99900], -0.00527, -0.004935, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 0.000117, [99900], [99900], [99900], [99900]], [[99900], -0.0725, -0.072715, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 6.7e-05, [99900], [99900], [99900], [99900]]
-8.0, '0110000', [[99900], -0.00522, -0.00494, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 0.000113, [99900], [99900], [99900], [99900]], [[99900], -0.07242, -0.07269, [99900], [99900], [99900], [99900]], [[99900], 1e-05, 6.4e-05, [99900], [99900], [99900], [99900]]
-8.0, '1100000', [-0.008895, -0.0086, [99900], [99900], [99900], [99900], [99900]], [6.7e-05, 0.000141, [99900], [99900], [99900], [99900], [99900]], [-0.011605, -0.01157, [99900], [99900], [99900], [99900], [99900]], [0.000378, 0.000148, [99900], [99900], [99900], [99900], [99900]]
-8.4, '1100000', [-0.00899, -0.00873, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]], [-0.01189, -0.01115, [99900], [99900], [99900], [99900], [99900]], [1e-05, 1e-05, [99900], [99900], [99900], [99900], [99900]]
-8.8, '0010101', [[99900], [99900], 0.00322, [99900], 0.00327, [99900], 0.00278], [[99900], [99900], 9.2e-05, [99900], 1e-05, [99900], 1e-05], [[99900], [99900], 0.017105, [99900], 0.01592, [99900], 0.01604], [[99900], [99900], 0.000124, [99900], 1e-05, [99900], 1e-05]
-9.3, '0010110', [[99900], [99900], 0.00326, [99900], 0.00339, 0.00324, [99900]], [[99900], [99900], 1e-05, [99900], 1e-05, 1e-05, [99900]], [[99900], [99900], 0.01718, [99900], 0.01583, 0.01591, [99900]], [[99900], [99900], 1e-05, [99900], 1e-05, 1e-05, [99900]]
-9.7, '0010110', [[99900], [99900], 0.00327, [99900], 0.00339, 0.00339, [99900]], [[99900], [99900], 1e-05, [99900], 1e-05, 1e-05, [99900]], [[99900], [99900], 0.01713, [99900], 0.01596, 0.01579, [99900]], [[99900], [99900], 1e-05, [99900], 1e-05, 1e-05, [99900]]
-8.4, '0000101', [[99900], [99900], [99900], [99900], 0.003155, [99900], 0.00268], [[99900], [99900], [99900], [99900], 6e-05, [99900], 4.2e-05], [[99900], [99900], [99900], [99900], 0.0159, [99900], 0.01674], [[99900], [99900], [99900], [99900], 0.000361, [99900], 0.00017]
-10.5, '0000111', [[99900], [99900], [99900], [99900], 0.00337, 0.00324, 0.00322], [[99900], [99900], [99900], [99900], 1e-05, 0.00015, 0.000154], [[99900], [99900], [99900], [99900], 0.01629, 0.01721, 0.01705], [[99900], [99900], [99900], [99900], 1e-05, 0.000572, 0.000567]
-11.4, '0000111', [[99900], [99900], [99900], [99900], 0.00343, 0.00362, 0.00362], [[99900], [99900], [99900], [99900], 1e-05, 1e-05, 1e-05], [[99900], [99900], [99900], [99900], 0.01625, 0.01585, 0.01573], [[99900], [99900], [99900], [99900], 1e-05, 1e-05, 1e-05]
-10.1, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.00325, 0.003157], [[99900], [99900], [99900], [99900], [99900], 0.000191, 0.000166], [[99900], [99900], [99900], [99900], [99900], 0.016815, 0.016795], [[99900], [99900], [99900], [99900], [99900], 0.000718, 0.00058]
-10.9, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.003287, 0.00363], [[99900], [99900], [99900], [99900], [99900], 0.000142, 1e-05], [[99900], [99900], [99900], [99900], [99900], 0.01721, 0.01569], [[99900], [99900], [99900], [99900], [99900], 0.000568, 1e-05]
-11.8, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.0036, 0.00356], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], 0.01583, 0.0161], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
-10.5, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.00412, 0.004405], [[99900], [99900], [99900], [99900], [99900], 1e-05, 0.000173], [[99900], [99900], [99900], [99900], [99900], 0.01378, 0.013245], [[99900], [99900], [99900], [99900], [99900], 1e-05, 0.000329]
-10.9, '0000011', [[99900], [99900], [99900], [99900], [99900], 0.00416, 0.0045], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05], [[99900], [99900], [99900], [99900], [99900], 0.01376, 0.01319], [[99900], [99900], [99900], [99900], [99900], 1e-05, 1e-05]
