,#NO,RA,DEC,VLSR,FLUX,DFLUX,??
,39,0.41155,-2.40937,-2.51785,6.76200,0.30400,1
,39,0.41200,-2.41134,-2.51785,12.10500,0.28300,1
,39,0.41246,-2.41343,-2.51785,7.03400,0.30400,1
,39,0.41247,-2.41352,-2.51785,13.93300,0.30400,1
,39,0.41269,-2.41448,-2.51785,6.12300,0.30400,1
,40,0.41143,-2.40860,-2.93914,8.92500,0.35300,1
,40,0.41189,-2.41084,-2.93914,19.54800,0.34000,1
,40,0.41235,-2.41303,-2.93914,8.57700,0.35300,1
,40,0.41249,-2.41355,-2.93914,18.30200,0.35300,1
,41,0.41187,-2.41076,-3.36044,14.67800,0.21400,1
,41,0.41246,-2.41343,-3.36044,10.15700,0.21700,1
,42,0.41187,-2.41071,-3.78174,4.36200,0.07700,1
,42,0.41240,-2.41317,-3.78174,2.51100,0.07600,1
,106,0.78472,-3.99136,-30.74474,2.51600,0.12400,1
,107,0.77989,-3.98506,-31.16604,1.59900,0.09400,1
,107,0.78457,-3.99152,-31.16604,3.46700,0.09400,1
,107,0.78465,-3.99079,-31.16604,3.09700,0.09400,1
,108,0.77983,-3.98505,-31.58733,2.23700,0.09800,1
,108,0.78450,-3.99135,-31.58733,5.52200,0.09800,1
,108,0.78465,-3.99078,-31.58733,3.43400,0.09800,1
,109,0.77982,-3.98503,-32.00863,1.59500,0.07700,1
,109,0.78446,-3.99130,-32.00863,4.26100,0.07700,1
,109,0.78467,-3.99085,-32.00863,2.40200,0.07700,1
,110,0.78457,-3.99088,-32.42993,1.49900,0.04600,1
,99,0.89365,-4.84014,-27.79566,1.13400,0.03900,1
,100,0.88898,-4.83418,-28.21696,1.14200,0.05400,1
,100,0.89361,-4.84053,-28.21696,1.84900,0.05400,1
,100,0.89369,-4.83978,-28.21696,1.41400,0.05400,1
,101,0.88897,-4.83411,-28.63825,2.38600,0.08700,1
,101,0.89360,-4.84051,-28.63825,3.64700,0.08700,1
,101,0.89366,-4.83973,-28.63825,3.03900,0.08700,1
,101,0.89391,-4.84229,-28.63825,1.90800,0.08700,1
,102,0.89360,-4.84041,-29.05955,6.79100,0.13500,1
,102,0.89365,-4.83964,-29.05955,4.52500,0.13500,1
,102,0.89406,-4.84241,-29.05955,1.23000,0.13500,1
,102,0.90198,-4.85426,-29.05955,1.13600,0.13500,1
,103,0.87245,-4.87780,-29.48085,1.40100,0.18000,1
,103,0.88896,-4.83405,-29.48085,5.10300,0.18700,1
,103,0.89360,-4.84038,-29.48085,9.63400,0.18700,1
,103,0.89364,-4.83960,-29.48085,6.26500,0.18700,1
,103,0.90198,-4.85449,-29.48085,1.78700,0.18700,1
,104,0.87240,-4.87753,-29.90215,1.51900,0.21100,1
,104,0.88894,-4.83400,-29.90215,5.93300,0.21600,1
,104,0.89361,-4.83955,-29.90215,7.19400,0.21600,1
,104,0.89361,-4.84039,-29.90215,10.93800,0.21600,1
,105,0.87245,-4.87779,-30.32344,1.43300,0.17800,1
,105,0.89362,-4.84008,-30.32344,13.14500,0.18500,1
,106,0.89360,-4.84005,-30.74474,8.29500,0.12400,1
,107,0.89359,-4.84000,-31.16604,3.53800,0.09200,1
,108,0.89357,-4.83977,-31.58733,1.16400,0.09600,1
,53,0.61448,-5.36206,-8.41600,4.58900,0.38000,1
,54,0.61444,-5.36323,-8.83730,4.53700,0.46900,1
,54,0.61445,-5.36035,-8.83730,12.19700,0.45400,1
,54,0.61460,-5.36260,-8.83730,4.77800,0.46900,1
,55,0.60923,-5.35282,-9.25860,5.67500,0.50100,1
,55,0.61274,-5.35819,-9.25860,5.88900,0.52200,1
,55,0.61295,-5.35721,-9.25860,3.79700,0.53100,1
,55,0.61442,-5.36228,-9.25860,10.23200,0.50300,1
,55,0.61445,-5.35991,-9.25860,23.46900,0.53100,1
,56,0.60939,-5.35314,-9.67989,9.34400,0.64300,1
,56,0.61269,-5.35792,-9.67989,8.52300,0.66000,1
,56,0.61298,-5.35725,-9.67989,6.21500,0.66700,1
,56,0.61436,-5.36167,-9.67989,13.52700,0.63800,1
,56,0.61443,-5.35988,-9.67989,36.60700,0.66700,1
,57,0.60882,-5.35160,-10.10119,9.74700,0.78800,1
,57,0.60969,-5.35385,-10.10119,13.93200,0.83800,1
,57,0.61434,-5.36101,-10.10119,21.85400,0.82100,1
,57,0.61441,-5.35979,-10.10119,46.42300,0.83800,1
,58,0.60884,-5.35164,-10.52249,10.88600,0.89700,1
,58,0.60967,-5.35385,-10.52249,17.78900,0.93900,1
,58,0.61262,-5.35732,-10.52249,18.70900,0.93700,1
,58,0.61309,-5.35725,-10.52249,6.67500,0.93900,1
,58,0.61428,-5.36063,-10.52249,30.36600,0.92200,1
,58,0.61441,-5.35976,-10.52249,46.90100,0.93900,1
,59,0.60948,-5.35346,-10.94378,18.22500,0.86700,1
,59,0.61254,-5.35742,-10.94378,15.76600,0.90700,1
,59,0.61281,-5.35682,-10.94378,12.84600,0.90700,1
,59,0.61432,-5.36004,-10.94378,65.47000,0.89800,1
,60,0.60950,-5.35357,-11.36508,14.97500,0.71000,1
,60,0.61250,-5.35742,-11.36508,12.86100,0.72900,1
,60,0.61274,-5.35684,-11.36508,10.66800,0.72900,1
,60,0.61425,-5.36041,-11.36508,34.15400,0.72200,1
,60,0.61437,-5.35962,-11.36508,29.33200,0.72900,1
,61,0.60954,-5.35366,-11.78638,9.08400,0.46800,1
,61,0.61253,-5.35724,-11.78638,11.86300,0.47600,1
,61,0.61284,-5.35686,-11.78638,4.02500,0.47600,1
,61,0.61422,-5.36038,-11.78638,22.67700,0.47300,1
,61,0.61438,-5.35963,-11.78638,19.53000,0.47600,1
,62,0.61250,-5.35723,-12.20768,6.82600,0.26100,1
,62,0.61281,-5.35685,-12.20768,2.62500,0.26100,1
,62,0.61421,-5.36023,-12.20768,14.45700,0.25700,1
,62,0.61443,-5.35957,-12.20768,8.32600,0.26100,1
,63,0.61248,-5.35727,-12.62897,3.58900,0.15100,1
,63,0.61270,-5.35660,-12.62897,1.52100,0.15100,1
,63,0.61421,-5.36018,-12.62897,7.52500,0.14900,1
,63,0.61436,-5.35940,-12.62897,4.58200,0.15100,1
,63,0.62258,-5.37410,-12.62897,1.40300,0.14500,1
,64,0.60955,-5.35374,-13.05027,2.63100,0.10800,1
,64,0.61412,-5.35929,-13.05027,2.94100,0.10900,1
,64,0.61423,-5.36022,-13.05027,3.60000,0.10700,1
,64,0.62261,-5.37421,-13.05027,1.02600,0.10700,1
,65,0.60952,-5.35391,-13.47157,2.56800,0.09000,1
,65,0.61108,-5.35713,-13.47157,1.86400,0.09000,1
,65,0.61407,-5.35918,-13.47157,1.37800,0.09100,1
