Index 	 Vlsr 		 RA 	 DEC 	 mux (mas) 	 muxerr (mas) 	 muy (mas) 	 muyerr (mas) 	 detections 
0 	 -3.80000 	 0.79646 	 -5.46691 	 5.78026 	 0.07186 	 -11.35752 	 0.07672 	 1111000
1 	 -4.20000 	 0.79644 	 -5.46681 	 6.01028 	 0.07187 	 -13.67565 	 0.07670 	 1111000
2 	 -4.60000 	 0.79757 	 -5.46915 	 2.21724 	 2.41952 	 -8.15530 	 4.46213 	 0110000
3 	 -3.40000 	 0.79787 	 -5.47025 	 9.40000 	 2.20896 	 -24.81500 	 4.47447 	 0011000
4 	 -19.80000 	 0.79079 	 -5.46682 	 1.71604 	 0.03852 	 -16.94254 	 0.03852 	 1010000
5 	 -20.20000 	 0.79082 	 -5.46675 	 1.36194 	 0.03852 	 -17.75970 	 0.03852 	 1110000
6 	 -21.10000 	 0.79019 	 -5.46708 	 -21.64945 	 0.07683 	 21.78518 	 0.07678 	 1111000
7 	 -21.50000 	 0.79022 	 -5.46708 	 2.83219 	 0.83577 	 -15.22305 	 0.87374 	 1111000
8 	 -21.90000 	 0.79056 	 -5.46702 	 2.59104 	 0.81181 	 -15.67930 	 0.74032 	 1111000
9 	 -22.30000 	 0.79064 	 -5.46708 	 2.13513 	 0.22180 	 -12.92382 	 0.62989 	 1111000
10 	 -22.80000 	 0.78962 	 -5.46744 	 3.37761 	 0.07705 	 -11.27687 	 0.07704 	 1100000
11 	 -20.60000 	 0.78919 	 -5.47023 	 8.21227 	 0.03687 	 -16.45108 	 0.03687 	 0111000
12 	 -15.60000 	 0.85477 	 -5.44435 	 3.65000 	 0.16651 	 -15.54194 	 0.16653 	 0000011
13 	 -16.00000 	 0.85471 	 -5.44418 	 4.12097 	 0.42844 	 -17.19032 	 4.07708 	 0000011
14 	 -16.40000 	 0.85459 	 -5.44424 	 5.00403 	 1.30057 	 -15.54194 	 0.84414 	 0000011
15 	 -16.80000 	 0.85462 	 -5.44381 	 3.41452 	 0.16649 	 -20.01613 	 0.16652 	 0000011
16 	 -33.30000 	 0.85970 	 -5.42099 	 6.48284 	 0.07705 	 -16.67015 	 0.07705 	 1100000
17 	 -33.70000 	 0.85969 	 -5.42105 	 6.31940 	 0.07704 	 -16.45224 	 0.07704 	 1100000
18 	 -34.10000 	 0.85964 	 -5.42106 	 6.48284 	 0.07705 	 -16.88806 	 0.07706 	 1100000
19 	 -22.30000 	 0.67298 	 -5.25930 	 1.77052 	 0.03852 	 -13.29254 	 0.03852 	 1110000
20 	 -22.80000 	 0.67250 	 -5.25892 	 3.86791 	 2.15799 	 -15.25373 	 2.46844 	 1100000
21 	 -23.20000 	 0.67237 	 -5.25879 	 3.67117 	 0.14631 	 -16.35352 	 0.50151 	 1110000
22 	 -23.60000 	 0.67232 	 -5.25874 	 4.31258 	 0.12087 	 -16.35345 	 0.53413 	 1110000
23 	 -24.00000 	 0.67209 	 -5.25781 	 3.96074 	 0.37164 	 -16.65350 	 1.50282 	 1110000
24 	 -24.40000 	 0.67207 	 -5.25781 	 4.80765 	 0.38911 	 -18.82201 	 1.78583 	 1010000
25 	 -19.80000 	 0.68926 	 -5.28801 	 5.89277 	 0.06218 	 -19.39337 	 0.06219 	 0000110
26 	 -20.20000 	 0.68937 	 -5.28805 	 3.54006 	 1.65096 	 -17.17259 	 2.31156 	 0000110
27 	 -20.60000 	 0.68933 	 -5.28788 	 4.86674 	 0.04527 	 -19.84560 	 0.04525 	 0000111
28 	 -21.50000 	 0.68936 	 -5.28788 	 4.39397 	 0.04379 	 -19.34223 	 0.04379 	 0000111
29 	 -21.90000 	 0.68937 	 -5.28789 	 4.13816 	 0.04379 	 -19.20426 	 0.04378 	 0000111
30 	 -21.00000 	 0.69027 	 -5.29185 	 6.29919 	 0.39473 	 -25.60887 	 4.28631 	 0000011
31 	 -16.40000 	 0.68473 	 -5.28573 	 1.52537 	 2.50659 	 -11.80530 	 4.30968 	 0110000
