,#NO,RA,DEC,VLSR,FLUX,DFLUX,??
,45,0.00001,-0.00013,-5.06253,2.58500,0.12800,1
,46,0.00000,-0.00010,-5.48389,8.24100,0.15400,1
,46,0.00034,-0.00188,-5.48389,2.00100,0.15400,1
,47,0.00000,-0.00008,-5.90526,23.66900,0.27500,1
,47,0.00030,-0.00169,-5.90526,5.57800,0.27500,1
,48,-0.00024,0.00148,-6.32663,15.07900,0.52200,1
,48,0.00000,-0.00008,-6.32663,53.55300,0.52200,1
,48,0.00030,-0.00160,-6.32663,8.69700,0.52200,1
,48,0.00030,-0.00184,-6.32663,7.85800,0.52200,1
,49,-0.00027,0.00167,-6.74800,20.46300,0.79400,1
,49,0.00000,-0.00004,-6.74800,92.15800,0.79400,1
,50,-0.00571,-0.05095,-7.16937,6.66400,0.95700,1
,50,-0.00535,-0.05101,-7.16937,9.46600,0.95700,1
,50,0.00000,-0.00002,-7.16937,114.33600,0.95700,1
,51,-0.00900,-0.01227,-7.59074,6.29500,0.93600,1
,51,-0.00881,-0.01117,-7.59074,12.42700,0.93600,1
,51,-0.00561,-0.05106,-7.59074,8.03700,0.93600,1
,51,-0.00522,-0.05129,-7.59074,7.90800,0.93600,1
,51,0.00001,-0.00002,-7.59074,101.62000,0.93600,1
,52,-0.01617,-0.03163,-8.01211,13.59600,0.86300,1
,52,-0.00899,-0.01214,-8.01211,10.68900,0.86300,1
,52,-0.00880,-0.01107,-8.01211,10.54700,0.86300,1
,52,0.00001,-0.00001,-8.01211,66.91400,0.86300,1
,53,-0.01619,-0.03167,-8.43347,7.26200,0.92300,1
,53,-0.00899,-0.01189,-8.43347,7.22100,0.90900,1
,53,-0.00001,0.00000,-8.43347,37.20800,0.92300,1
,54,0.00000,0.00001,-8.85484,18.90100,0.69800,1
,54,0.00380,0.00817,-8.85484,9.86100,0.69800,1
,55,-0.00001,0.00003,-9.27621,8.81000,0.35100,1
,55,0.00370,0.00820,-9.27621,4.88700,0.35100,1
,55,0.00408,0.00805,-9.27621,1.93000,0.35100,1
,56,0.00002,0.00013,-9.69758,4.34400,0.21300,1
,56,0.01857,0.00330,-9.69758,2.20300,0.21300,1
,57,0.01859,0.00319,-10.11895,5.24500,0.28700,1
,58,0.01860,0.00322,-10.54032,5.34400,0.30400,1
,59,0.01842,0.00333,-10.96169,1.34800,0.18700,1
,59,0.01876,0.00308,-10.96169,1.76000,0.18700,1
,60,0.00159,0.00120,-11.38305,3.40500,0.14200,1
,61,0.00159,0.00123,-11.80442,4.44300,0.13300,1
,62,0.00156,0.00121,-12.22579,3.37300,0.12200,1
,63,0.00144,0.00107,-12.64716,1.34900,0.11600,1
,49,0.00881,0.01137,-6.74800,9.02800,0.72900,1
,49,0.01619,0.03140,-6.74800,6.17900,0.72900,1
,50,0.00882,0.01144,-7.16937,10.53600,0.89000,1
,50,0.01614,0.03151,-7.16937,7.62300,0.89000,1
,51,0.00882,0.01145,-7.59074,7.39800,0.91700,1
,51,0.01614,0.03156,-7.59074,6.84900,0.91700,1
,52,0.18550,0.00936,-8.01211,5.17500,0.92400,1
,53,0.18571,0.00991,-8.43347,5.61200,1.01600,1
,52,0.27499,-0.13145,-8.01211,7.24600,1.21200,1
,52,0.33353,-0.12093,-8.01211,35.66400,1.21200,1
,52,0.33396,-0.12268,-8.01211,13.25300,1.21200,1
,53,0.27503,-0.13157,-8.43347,5.97400,0.82900,1
,53,0.33348,-0.12081,-8.43347,54.47600,0.82900,1
,53,0.33386,-0.12248,-8.43347,29.62700,0.82900,1
,53,0.33392,-0.12281,-8.43347,6.69400,0.82900,1
,54,0.33344,-0.12069,-8.85484,43.43100,0.55200,1
,54,0.33386,-0.12249,-8.85484,29.18600,0.55200,1
,54,0.33394,-0.12282,-8.85484,4.87100,0.55200,1
,55,0.33337,-0.12050,-9.27621,19.52900,0.32100,1
,56,0.61506,-0.73245,-9.69758,5.61400,0.32700,1
,57,0.61500,-0.73223,-10.11895,18.68700,0.37400,1
,58,0.61497,-0.73219,-10.54032,20.57400,0.36500,1
,59,0.61494,-0.73221,-10.96169,8.99400,0.26700,1
,30,0.41011,-2.38503,1.25800,1.79900,0.11900,1
,31,0.40894,-2.39200,0.83663,1.79100,0.13200,1
,31,0.40999,-2.38473,0.83663,4.35400,0.13200,1
,32,0.40897,-2.39186,0.41527,1.85100,0.14900,1
,32,0.41176,-2.41088,0.41527,2.11000,0.14900,1
,32,0.41208,-2.41317,0.41527,1.31800,0.14900,1
,32,0.41243,-2.41316,0.41527,3.69500,0.14900,1
,33,0.41175,-2.41118,-0.00610,10.53200,0.23500,1
,33,0.41217,-2.41155,-0.00610,3.80200,0.23500,1
,33,0.41229,-2.41324,-0.00610,9.07700,0.23500,1
,34,0.41157,-2.40987,-0.42747,6.95800,0.38000,1
