,#NO,RA,DEC,VLSR,FLUX,DFLUX,??
,30,0.00870,0.04704,1.27940,1.24700,0.03400,1
,31,0.00876,0.04692,0.85810,1.53100,0.03800,1
,33,0.02898,0.06526,0.01552,2.34700,0.06100,1
,33,0.06241,0.09148,0.01552,2.67900,0.06100,1
,34,0.02895,0.06530,-0.40578,5.30200,0.14200,1
,34,0.06239,0.09144,-0.40578,7.77800,0.14200,1
,35,0.02894,0.06532,-0.82707,6.27300,0.16700,1
,35,0.06236,0.09139,-0.82707,9.31000,0.16700,1
,36,0.02894,0.06532,-1.24836,4.79000,0.10800,1
,36,0.06229,0.09135,-1.24836,5.38500,0.10800,1
,37,0.02895,0.06527,-1.66966,2.90600,0.06300,1
,37,0.06161,0.09047,-1.66966,1.02000,0.06300,1
,37,0.06218,0.09139,-1.66966,1.53200,0.06300,1
,38,0.02893,0.06551,-2.09095,1.16900,0.09300,1
,38,0.06138,0.09046,-2.09095,2.47400,0.09300,1
,39,0.06134,0.09039,-2.51224,3.48800,0.13500,1
,39,0.06162,0.09068,-2.51224,1.13100,0.13400,1
,40,0.02219,0.05873,-2.93354,3.44300,0.15300,1
,40,0.06144,0.09031,-2.93354,3.87200,0.15300,1
,41,0.01111,0.04406,-3.35483,4.85900,0.26400,1
,41,0.01139,0.04426,-3.35483,2.04200,0.26400,1
,41,0.02217,0.05870,-3.35483,13.63300,0.26400,1
,42,0.01120,0.04407,-3.77612,10.90100,0.40200,1
,42,0.02217,0.05868,-3.77612,22.62900,0.40200,1
,42,0.02261,0.05692,-3.77612,12.68100,0.40200,1
,42,0.02275,0.05653,-3.77612,3.08900,0.40200,1
,43,0.01121,0.04410,-4.19742,11.32900,0.41300,1
,43,0.02217,0.05865,-4.19742,19.59700,0.41300,1
,43,0.02262,0.05692,-4.19742,10.85800,0.41300,1
,43,0.02277,0.05656,-4.19742,2.52300,0.41300,1
,43,0.02846,0.06558,-4.19742,5.49300,0.41300,1
,43,0.02889,0.06510,-4.19742,4.86000,0.41300,1
,43,0.06177,0.09104,-4.19742,3.59100,0.41300,1
,43,0.06189,0.08999,-4.19742,3.78500,0.41300,1
,44,0.01123,0.04418,-4.61871,6.70300,0.37400,1
,44,0.02221,0.05858,-4.61871,6.41100,0.37400,1
,44,0.02874,0.06520,-4.61871,13.33400,0.37400,1
,44,0.06178,0.09055,-4.61871,9.60700,0.37400,1
,45,-0.00126,0.00851,-5.04000,2.51100,0.42000,1
,45,-0.00084,0.00823,-5.04000,6.18500,0.42000,1
